"","HH_ID","Time","Locationch1","Activitych1","Locationch2","Activitych2","Locationch3","Activitych3","Comment","Day"
"1","ETH001","Morning","Home","Eating and Washing hands","Home","Eating, Washing hands and Helping parents","home","Eating, washing hands, and Helping parents by doing household chores","The Target child (ETAY003) and his older sister (ETAM002) spend most of their time together and interact each other. However, the oldest pre-pubescent daughter ( ETAS004) does not spend much time with her younger sister(ETAM002) and brother ( ETAY003-Target child) The location and the activities/ interaction of the siblings are similar for school days (Monday to Friday)","Monday"
"2","ETMA00001","Morning","Home","Eating breakfast, collecting learning matrials and preparing to go to school","Home",NA,NA,NA,"It is the responsibility of the older child to look after her younger sister while going to school","Monday"
"3","ETMT00002","Morning","Home","Eating and going to school","Home","Eating and going to school","home","Eating, washing household utitlities And reading",NA,"Monday"
"4","KEMB00014","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Monday"
"5","KEME00012","Morning","home","taking breakfast","home","taking breakfast",NA,NA,"holiday differs","Monday"
"6","KEMH00011","Morning","home","taking breakfast and preparing for school","home","taking breakfast and preparing for school",NA,NA,NA,"Monday"
"7","KEMB00051","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Monday"
"8","KECM00029","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Monday"
"9","KECP00040","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Monday"
"10","KECC00021","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Monday"
"11","KECO00028","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Monday"
"12","KECL00015","Morning","home","breakfast and prepare for school",NA,"home","breakfast and prepare for school","home","breakfast and prepare for school","Monday"
"13","ETBR00002","Morning","Bed room and dining room","Wearing school uniform and eating","Bed room and dining room","Wearing school uniform and eating",NA,NA,"Regular activities","Monday"
"14","ETBK00001","Morning","Bed room","Wearing school uniform","Bed room","Wearing school uniform","Bed room","Wearing school uniform","These are regular activities","Monday"
"15","ETMF00003","Morning","Home","Eating and going to school","Home","Eating and going to school","home","Eating and escorting or accompanying her younger sisters",NA,"Monday"
"16","ETH001","midday","school street","Eating lunch at school and Attending class","school street","Eating lunch at school and","school street","Eating lunch at school and",NA,"Monday"
"17","ETMA00001","midday","Home","Taking rest After arrival from school","School and on the way to home","Attending class",NA,"Attending class",NA,"Monday"
"18","ETMT00002","midday","school","Attending classs","school","Attending classs","school","Attending classs",NA,"Monday"
"19","KEMB00014","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"20","KEME00012","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"21","KEMH00011","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"22","KEMB00051","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"23","KECM00029","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"24","KECP00040","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"25","KECC00021","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"26","KECO00028","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"27","KECL00015","midday","school",NA,"school",NA,NA,NA,NA,"Monday"
"28","ETBR00002","midday","school","Learning","school","Learning",NA,NA,"Since students are at school, it would be best if their teachers are asked rather than asking parents","Monday"
"29","ETBK00001","midday","school","Learning","school","Learning","school","Learning",NA,"Monday"
"30","ETMF00003","midday","school","Attending class","school","Attending class","school","Go to school",NA,"Monday"
"31","ETH001","afternoon","home","Playing, Doing homework with ETAM002, Accompany ETAM002 in when fetching water","home","Fetching water and Playing with the young child (ETAY003), Helping him  in doing homo work ,","home","Washing household utilities, clean compound Fetching water Do homework",NA,"Monday"
"32","ETMA00001","afternoon","On the road, outside home","Playing with her older sister and neighboring children","On the road, outside home","Playing with her young sister and neighboring children, reading",NA,NA,NA,"Monday"
"33","ETMT00002","afternoon","home","Eating and playing","home","Eating and caring the kid","home","Attending class",NA,"Monday"
