,Country,Activity,Item_homemade,,,,,,,,Country,Activity,Item
1,Ethiopia,Activity_No1_Items_homemade,Natural,,,,,,,1,Ethiopia,Activity_No1_Items,"Leaf, stone, spoon

"
2,Ethiopia,Activity_No1_Items_homemade,Natural,,,,,,,2,Ethiopia,Activity_No1_Items,stick
3,Ethiopia,Activity_No3_Items_homemade,Natural,,,,,,,3,Ethiopia,Activity_No3_Items,stick
4,Ethiopia,Activity_No1_Items_homemade,Natural,,,,,,,4,Ethiopia,Activity_No1_Items,Did not use any material. They use their hands.
5,Ethiopia,Activity_No4_Items_homemade,Natural,,,,,,,5,Ethiopia,Activity_No4_Items,"Did not use any material. They use their hands.

"
6,Ethiopia,Activity_No1_Items_homemade,"Made from different used materials jointed at different point   

",,,,,,,6,Ethiopia,Activity_No1_Items,ropes
7,Ethiopia,Activity_No1_Items_homemade,Bought,,,,,,,7,Ethiopia,Activity_No1_Items,broom
8,Ethiopia,Activity_No1_Items_homemade,Bought,,,,,,,8,Ethiopia,Activity_No1_Items,"Rotto ( water container)







"
9,Ethiopia,Activity_No1_Items_homemade,Bought,,,,,,,9,Ethiopia,Activity_No1_Items,Holy Quran
10,Ethiopia,Activity_No1_Items_homemade,No material used,,,,,,,10,Ethiopia,Activity_No1_Items,No material used
11,Ethiopia,Activity_No1_Items_homemade,Homemade,,,,,,,11,Ethiopia,Activity_No1_Items,ropes
12,Ethiopia,Activity_No1_Items_homemade,Homemade,,,,,,,12,Ethiopia,Activity_No1_Items,"Household utilites( plate, cover of water container and flat wood"
13,Ethiopia,Activity_No1_Items_homemade,Natural,,,,,,,13,Ethiopia,Activity_No1_Items,Small gravel  stones
14,Ethiopia,Activity_No1_Items_homemade,Homemade,,,,,,,14,Ethiopia,Activity_No1_Items,ropes
15,Ethiopia,Activity_No1_Items_homemade,man made - drawn on surface,,,,,,,15,Ethiopia,Activity_No1_Items,surface
16,Ethiopia,Activity_No1_Items_homemade,Bought,,,,,,,16,Ethiopia,Activity_No1_Items,"Materials used to eat like spoon, food box
"
17,Ethiopia,Activity_No2_Items_homemade,Natural,,,,,,,17,Ethiopia,Activity_No2_Items,"Stones ,12 holes on the ground"
18,Ethiopia,Activity_No1_Items_homemade,Bought,,,,,,,18,Ethiopia,Activity_No1_Items,"spoon,tea glasses"
19,Ethiopia,Activity_No1_Items_homemade,Bought,,,,,,,19,Ethiopia,Activity_No1_Items,"Book,pen"
20,Ethiopia,Activity_No1_Items_homemade,Bought,,,,,,,20,Ethiopia,Activity_No1_Items,Ball
21,Ethiopia,Activity_No1_Items_homemade,Bought,,,,,,,21,Ethiopia,Activity_No1_Items,"plastic pipe,plastic water tap.plastic water container"
22,Ethiopia,Activity_No2_Items_homemade,Bought,,,,,,,22,Ethiopia,Activity_No2_Items,"pen,exercise books"
23,Ethiopia,Activity_No1_Items_homemade,Bought,,,,,,,23,Ethiopia,Activity_No1_Items,Ropes and iron poles
24,Ethiopia,Activity_No2_Items_homemade,Natural,,,,,,,24,Ethiopia,Activity_No2_Items,Body parts
25,Ethiopia,Activity_No3_Items_homemade,Bought,,,,,,,25,Ethiopia,Activity_No3_Items,"""Biyi"""
26,Ethiopia,Activity_No4_Items_homemade,Natural,,,,,,,26,Ethiopia,Activity_No4_Items,Stones and sand
