,Country,Activity,Setting
1,Ethiopia,Activity_No1_Setting,On the road which is infront of their house
2,Ethiopia,Activity_No1_Setting,"Within home compound 

"
3,Ethiopia,Activity_No3_Setting,"Within home compound 

"
4,Ethiopia,Activity_No1_Setting,"Within home compound 

"
5,Ethiopia,Activity_No4_Setting,"Within home compound 

"
6,Ethiopia,Activity_No1_Setting,"Within home compound 

"
7,Ethiopia,Activity_No1_Setting,home
8,Ethiopia,Activity_No1_Setting,home
9,Ethiopia,Activity_No1_Setting,home
10,Ethiopia,Activity_No1_Setting,"Within home compound 

"
11,Ethiopia,Activity_No1_Setting,"Within home compound 

"
12,Ethiopia,Activity_No1_Setting,home
13,Ethiopia,Activity_No1_Setting,"Within home compound 

"
14,Ethiopia,Activity_No1_Setting,"Within home compound 

"
15,Ethiopia,Activity_No1_Setting,"Within home compound 

"
16,Ethiopia,Activity_No1_Setting,home
17,Ethiopia,Activity_No1_Setting,In hall
18,Ethiopia,Activity_No2_Setting,Playing
19,Ethiopia,Activity_No1_Setting,home
20,Ethiopia,Activity_No1_Setting,home
21,Ethiopia,Activity_No1_Setting,"Within home compound 

"
22,Ethiopia,Activity_No1_Setting,"Within home compound 

"
23,Ethiopia,Activity_No2_Setting,"Within home compound 

"
24,Ethiopia,Activity_No1_Setting,Corner of playground
25,Ethiopia,Activity_No2_Setting,Behind classroom
26,Ethiopia,Activity_No3_Setting,In front of the classroom
27,Ethiopia,Activity_No4_Setting,In front of the classroom
